[03/02/19, 03.06.20] Bryan Widjaja: ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
[03/02/19, 03.06.20] Bryan Widjaja: ‎Bryan changed their phone number. You're currently chatting with their new number
[10/08/23, 07.58.50] Bryan Widjaja: Ait bet lmk
[10/08/23, 08.05.57] Matthew Taruno: Otw 516 ETA
[10/08/23, 08.06.22] Bryan Widjaja: Sounds good call when ure here
[10/08/23, 08.20.19] Matthew Taruno: Sry traffic 3 min ETA
[10/08/23, 08.20.46] Bryan Widjaja: All good my guy
‎[10/08/23, 08.20.56] Matthew Taruno: ‎image omitted
‎[10/08/23, 14.35.20] Bryan Widjaja: ‎image omitted
[10/08/23, 14.35.33] Bryan Widjaja: Also can u send food pics
‎[10/08/23, 15.23.25] Matthew Taruno: ‎image omitted
‎[10/08/23, 15.23.25] Matthew Taruno: ‎image omitted
‎[10/08/23, 15.23.26] Matthew Taruno: ‎image omitted
‎[10/08/23, 15.23.26] Matthew Taruno: ‎image omitted
‎[10/08/23, 15.23.27] Matthew Taruno: ‎image omitted
‎[10/08/23, 15.23.27] Matthew Taruno: ‎image omitted
‎[10/08/23, 15.23.28] Matthew Taruno: ‎image omitted
‎[10/08/23, 15.23.29] Matthew Taruno: ‎image omitted
[10/08/23, 15.24.10] Matthew Taruno: LOL sry I left it stranded in the middle of your house
[10/08/23, 15.25.26] Matthew Taruno: Bennett tutup mata 2/3 photos LOL
[10/08/23, 15.47.16] Bryan Widjaja: Hhaha lucu sih
[10/08/23, 15.47.27] Bryan Widjaja: And you said u left it in the car lol
[11/08/23, 02.36.09] Bryan Widjaja: Matt
[11/08/23, 02.36.12] Bryan Widjaja: Friday ya malem
[11/08/23, 02.36.19] Bryan Widjaja: Mau ikut go out? Prolly to some bars n stuff
[11/08/23, 04.01.00] Matthew Taruno: I’m down
[11/08/23, 04.01.08] Matthew Taruno: Jam brp u thinking?
[11/08/23, 11.35.58] Bryan Widjaja: Bet
[11/08/23, 11.36.14] Bryan Widjaja: Im gonna join them probably at 9ishhh??9-10 lah actly
[12/08/23, 07.01.48] Matthew Taruno: Okie. U going anywhere before then? When would be a good time to be dropped off at yours?
[12/08/23, 07.02.21] Bryan Widjaja: Depends
[12/08/23, 07.02.33] Bryan Widjaja: Im gonna go play soccer at 6, then prolly shower n go
[12/08/23, 07.02.49] Bryan Widjaja: If u want to come soccer, its also in bellevue
[12/08/23, 07.02.56] Bryan Widjaja: Then we can jst shower at mine and go lngshng
[12/08/23, 07.03.19] Bryan Widjaja: Extend the invite to grace jg if dia mau ikut to bars or soccer or both
[12/08/23, 07.03.33] Bryan Widjaja: If u ngk soccer, probably drop off around 930?
[12/08/23, 07.16.51] Matthew Taruno: Gotcha
[12/08/23, 07.17.20] Matthew Taruno: Lg ada bokapnya si grace , we gonna have dinner with him
[12/08/23, 07.17.40] Matthew Taruno: Let’s do this
[12/08/23, 07.18.00] Matthew Taruno: Do u know the location of the bar in particular?
[12/08/23, 07.18.42] Matthew Taruno: Can’t come to soccer but hope you guys enjoy
[12/08/23, 07.22.39] Bryan Widjaja: Oh right right have fun lol
[12/08/23, 07.22.46] Bryan Widjaja: Enak lah makn gratis
[12/08/23, 07.23.07] Bryan Widjaja: Yes ok come at 930. If i think im gonna be home later than that i will lyk
[12/08/23, 07.23.22] Bryan Widjaja: No clue lol but will surely hear back ntr
[12/08/23, 07.27.30] Matthew Taruno: Hahaha thanks
[12/08/23, 07.28.45] Matthew Taruno: Just asking soalnya we will be in Seattle close to don’t yell at me
[12/08/23, 07.29.06] Matthew Taruno: Kalo bar nya deket daerah situ maybe it makes more sense for us to meet directly there
[12/08/23, 07.29.19] Matthew Taruno: Drpd bolak balik hahaha
[12/08/23, 07.30.20] Matthew Taruno: Also di tempat boba kmrn did u pay for parking? Parallel park ya gw lupa
[12/08/23, 09.02.07] Bryan Widjaja: Well the bar most likely will be in seattlw
[12/08/23, 09.02.13] Bryan Widjaja: Not near u district
[12/08/23, 09.02.24] Bryan Widjaja: So like west side, but in seattle not u dis
[12/08/23, 09.02.33] Bryan Widjaja: Idk where yet and they also dont know where yet lol
[12/08/23, 09.02.53] Bryan Widjaja: I should be ready to leave around 930-10
[12/08/23, 09.03.08] Bryan Widjaja: So lmk aj what u decide on doing
[12/08/23, 12.02.10] Bryan Widjaja: Gmn jdinya?
[12/08/23, 12.03.19] Matthew Taruno: Was just about to text
[12/08/23, 12.03.24] Matthew Taruno: Tempat nya udh tau?
[12/08/23, 12.03.56] Matthew Taruno: Ini gw di Fremont
[12/08/23, 12.06.06] Bryan Widjaja: Belom
[12/08/23, 12.06.15] Bryan Widjaja: So mrka itu lg dri housewarming so thats why belom tau dmna
[12/08/23, 12.06.34] Bryan Widjaja: If kita ksitu mrk masih housewarming we’ll joon them. House is in seattle
[12/08/23, 12.06.49] Bryan Widjaja: If they go to bars it will be either downtown, cap hill, or around that area
[12/08/23, 12.06.51] Bryan Widjaja: So ngk mngkin jauh
[12/08/23, 12.07.02] Bryan Widjaja: Lu di fremont smpe kpn?
[12/08/23, 12.07.10] Bryan Widjaja: Mngkin gw bisa jmput lu dsitu if ure still gonna be there for a while
[12/08/23, 12.07.20] Matthew Taruno: I’m trapped with her extended family HAHAHA
[12/08/23, 12.07.22] Bryan Widjaja: I might pick up a friend that lives kinda up there
[12/08/23, 12.07.24] Bryan Widjaja: HAHHAA NO WAY
[12/08/23, 12.07.26] Bryan Widjaja: Smpe kpn
[12/08/23, 12.07.35] Matthew Taruno: They’re talking about all the shit they brought from China
[12/08/23, 12.07.40] Matthew Taruno: Harusnya bentar lg
[12/08/23, 12.07.42] Matthew Taruno: Hahahaha
[12/08/23, 12.08.51] Matthew Taruno: I’m like 28 mins away from u
[12/08/23, 12.09.40] Matthew Taruno: Lu rencana pulang jam brp bro?
[12/08/23, 12.09.53] Bryan Widjaja: HAHHA bentar lg itu brp lama
[12/08/23, 12.09.59] Bryan Widjaja: I should be ready to leave jn 28 mins
[12/08/23, 12.10.06] Bryan Widjaja: But will also need time to get there lol
[12/08/23, 12.10.12] Bryan Widjaja: Ini gw udh otw balik
[12/08/23, 12.10.16] Bryan Widjaja: Will walk barr shower n leave prolly
[12/08/23, 12.10.23] Matthew Taruno: Oh I mean nnti malem ini haha
[12/08/23, 12.10.49] Matthew Taruno: HAHA I think this depends on how I butterfly my way past this
[12/08/23, 12.10.58] Matthew Taruno: I can push either agenda
[12/08/23, 12.14.29] Bryan Widjaja: Ohh trsrah sih
[12/08/23, 12.14.32] Bryan Widjaja: Dont have a plan yet
[12/08/23, 12.14.39] Bryan Widjaja: Klo seru stay klo bosen we can jst go soemwhere
[12/08/23, 12.14.50] Bryan Widjaja: HAHAHAHA okok stay till at least 10
[12/08/23, 12.14.54] Bryan Widjaja: Cus i dont think ill be there before
[12/08/23, 12.14.56] Bryan Widjaja: Bisa ga HAHAH
[12/08/23, 12.18.12] Matthew Taruno: One problem, I gotta be ready at my place by 7AM tmr
[12/08/23, 12.18.22] Matthew Taruno: A group of ppl are picking me up to go to Reinier
[12/08/23, 12.19.47] Matthew Taruno: I operate off deprived sleep quite often and I got some decent rest yesterday so I’m considering soldiering it through until like around 12 AM tonight HAHA
[12/08/23, 12.20.17] Matthew Taruno: But I don’t want to like disrupt ur plans if you were planning to stay longer
[12/08/23, 12.22.26] Matthew Taruno: Probably until 1230 lah kita paling
[12/08/23, 12.25.09] Bryan Widjaja: HAHAHA ok thts fair
[12/08/23, 12.25.12] Bryan Widjaja: 1230 ish bisa sih
[12/08/23, 12.25.35] Bryan Widjaja: Gw jg ngk gtu pgen too late sih
[12/08/23, 12.25.43] Bryan Widjaja: Nnti we play it by ear
[12/08/23, 12.30.00] Matthew Taruno: Hahahaha ayttt bro bet
[12/08/23, 12.34.23] Matthew Taruno: https://maps.app.goo.gl/GNotq4esaNHBPoF29?g_st=iw
[12/08/23, 12.41.26] Matthew Taruno: Update me ya
[12/08/23, 12.44.46] Matthew Taruno: My peeps are leaving, I’ll find somewhere near to drop me off to wait for u
[12/08/23, 12.45.04] Bryan Widjaja: Okok sounds good, will try to rush to head over thefe
[12/08/23, 12.45.09] Bryan Widjaja: Lmk where you’ll be
[12/08/23, 12.45.21] Matthew Taruno: Where’s a good place for me to go?
[12/08/23, 12.45.26] Matthew Taruno: They can drop me off there
[12/08/23, 12.45.37] Matthew Taruno: To minimize ur driving
[12/08/23, 12.45.49] Bryan Widjaja: Near greenlake
[12/08/23, 12.46.53] Matthew Taruno: Is there a particular place?
[12/08/23, 12.47.02] Bryan Widjaja: 6806 woodlawn ave ne is my friends house
[12/08/23, 12.47.09] Bryan Widjaja: So anywhere around there
[12/08/23, 12.47.19] Bryan Widjaja: G ush persis dsitu jg
[12/08/23, 12.47.27] Bryan Widjaja: ‎Missed voice call
[12/08/23, 12.51.01] Matthew Taruno: https://maps.google.com?q=Greenlake%20Bar%20%26%20Grill,%207200%20East%20Green%20Lake%20Dr%20N,%20Seattle,%20WA%2098115,%20United%20States&ftid=0x5490146d20069e11:0xe122db63cdd6f4ec&hl=en-ID&gl=id&entry=gps&lucs=,47071704&g_st=iw
[12/08/23, 12.59.46] Matthew Taruno: I’m at the sidewalk
[12/08/23, 13.01.09] Bryan Widjaja: Wtf
[12/08/23, 13.01.13] Bryan Widjaja: Find a place dong
[12/08/23, 13.01.17] Bryan Widjaja: Jgn diljlan
[12/08/23, 13.01.18] Bryan Widjaja: So sorry dude
[12/08/23, 13.04.03] Matthew Taruno: No worry bro, gw kenyang, the place isn’t sketch kok
[12/08/23, 13.04.23] Matthew Taruno: Wearing a sand colored jacket
[12/08/23, 13.10.17] Bryan Widjaja: Eta 1028
[12/08/23, 13.18.05] Matthew Taruno: 👍👍
[13/08/23, 04.57.06] Bryan Widjaja: Boat
[13/08/23, 04.57.08] Bryan Widjaja: Thursday
[13/08/23, 04.57.09] Bryan Widjaja: At 6
[13/08/23, 04.57.16] Bryan Widjaja: Hottub boat
[13/08/23, 15.31.03] Matthew Taruno: Hey my guy, super long day, just came back to civilization from Reinier! Hot tub boat sounds so dope, let me confirm tomorrow
[14/08/23, 04.47.39] Matthew Taruno: Alright, I can come on thursday
[14/08/23, 04.48.33] Matthew Taruno: Is it with the same group ?
[14/08/23, 05.07.31] Matthew Taruno: Gw tonight doing bbq at Kirkland ama 2 temen college gw, let me know if u wanna join
[14/08/23, 05.07.56] Matthew Taruno: 6pm I’m going to his place at dt bellevue
[14/08/23, 06.08.57] Matthew Taruno: ‎‎‎You turned on disappearing messages. ‎New messages will disappear from this chat ‎24 hours after they're sent, except when kept. ‎Tap to change.
[14/08/23, 06.10.21] Matthew Taruno: ‎‎You turned off disappearing messages. ‎Tap to change.
[14/08/23, 06.22.38] Bryan Widjaja: Ilang reception lol
[14/08/23, 06.22.48] Bryan Widjaja: Call me back when youre out the elevator
[17/08/23, 13.50.28] Matthew Taruno: Besok jam brp bro?
[17/08/23, 13.50.50] Bryan Widjaja: 6 i think
[17/08/23, 13.51.02] Bryan Widjaja: We can also jst do one car klo mau
[17/08/23, 13.51.11] Bryan Widjaja: Jauh krna slu
[17/08/23, 13.52.37] Matthew Taruno: Okie. Do u mind jemput gw di hotel gw yg kemarin lu drop gw?
[17/08/23, 13.53.59] Matthew Taruno: Eh klo nga dari tempat nya grace
[17/08/23, 13.54.42] Matthew Taruno: Lbh deket
[17/08/23, 13.56.37] Bryan Widjaja: Yeahh that wirks man
[17/08/23, 13.56.43] Bryan Widjaja: Ill lyk what time ya bsk
[17/08/23, 13.59.53] Matthew Taruno: Gotcha
‎[17/08/23, 13.59.55] Matthew Taruno: ‎sticker omitted
[18/08/23, 04.56.05] Matthew Taruno: https://goo.gl/maps/rdMpgCQZyFQCvCvWA
[18/08/23, 04.56.20] Matthew Taruno: nnti jemput disini ya bro, thanks man
[18/08/23, 07.37.22] Bryan Widjaja: Sounds good. Ill be there close to 5ish ya
[18/08/23, 07.38.43] Matthew Taruno: Alright, so I don't currently have any data right now, I;m gonna walk outside to a nearby chipotle and come back
[18/08/23, 07.38.51] Matthew Taruno: Ill aim to arrive back home asap
[18/08/23, 07.39.00] Bryan Widjaja: Ok i wont be there before 5 anyway
[18/08/23, 07.39.15] Bryan Widjaja: So as long as ure back by 5 with wifi then youre good HAHA
[18/08/23, 07.39.37] Matthew Taruno: Aytt sounds good, just will be MIA for a walk there and back lol
[18/08/23, 08.02.35] Bryan Widjaja: Eta 514
[18/08/23, 08.08.20] Matthew Taruno: 👍
[18/08/23, 08.08.51] Matthew Taruno: wait at the same place u dropped me off last time ya
[18/08/23, 08.08.55] Matthew Taruno: theres like a fire truck outside
[18/08/23, 08.09.09] Matthew Taruno: so ill try to move forward and try to catch your mazda
[18/08/23, 08.09.16] Matthew Taruno: takut nya u cant go in
[18/08/23, 08.09.50] Bryan Widjaja: Ok bet
[18/08/23, 08.09.53] Bryan Widjaja: 3 mins smpe
[18/08/23, 08.09.55] Bryan Widjaja: 512
[18/08/23, 08.09.57] Matthew Taruno: actually i think its safer if u find a place to stop
[18/08/23, 08.10.00] Matthew Taruno: while i still have wifi
[18/08/23, 08.10.05] Matthew Taruno: and then lemme know ill come down
[18/08/23, 08.12.22] Bryan Widjaja: No fire truck
[18/08/23, 08.12.24] Bryan Widjaja: Im outside
‎[18/08/23, 08.12.30] Bryan Widjaja: ‎image omitted
[18/08/23, 08.13.00] Matthew Taruno: coming'
[19/08/23, 00.39.40] Matthew Taruno: Any weekend plans?
[19/08/23, 01.18.46] Bryan Widjaja: Not yet so far
[19/08/23, 01.18.52] Bryan Widjaja: What day dyu want to see the movie
[19/08/23, 01.18.59] Bryan Widjaja: Myb food w ben
[19/08/23, 07.41.10] Bryan Widjaja: Malem ini free ga klo dinner
[19/08/23, 07.41.12] Bryan Widjaja: Potentially
[19/08/23, 07.59.09] Matthew Taruno: Tomorrow dinner then Oppenheimer?
[19/08/23, 07.59.44] Matthew Taruno: I’m playing pickle ball this evening and might eat with them afterwards
[19/08/23, 08.16.29] Bryan Widjaja: Gis besok pergi krna
[19/08/23, 08.16.49] Bryan Widjaja: Wer gonna have dinner ltr kyknya jam 730-8ish, come if you can but no pressure at all!
[19/08/23, 08.25.05] Matthew Taruno: Alright I don’t think I would be able to make it tonight but if you’re still down we can do the Oppenheimer plans tmr night!
[19/08/23, 08.25.15] Matthew Taruno: Will she be here 8/26?
[19/08/23, 08.25.48] Matthew Taruno: I’m planning a bday thing on that date :)
[19/08/23, 10.02.43] Bryan Widjaja: Ya! Ill get back to you on that yaaa
[19/08/23, 10.02.48] Bryan Widjaja: Will let u know tomorrow?
[19/08/23, 10.03.08] Bryan Widjaja: Hmm shit i think so? Not 200% sure tho
[19/08/23, 10.03.24] Bryan Widjaja: Oh your birthday? Kpanv
[19/08/23, 11.48.52] Matthew Taruno: Alright sounds good bro
[19/08/23, 11.49.19] Matthew Taruno: 8/26 is my bday, planning to host something on that day
[20/08/23, 04.12.07] Bryan Widjaja: Oh nice niceee man let us know!
[20/08/23, 04.12.49] Bryan Widjaja: Also matt, lets do tonight for movie if you want?
[20/08/23, 04.12.51] Bryan Widjaja: Tp malem bisa ga?
[20/08/23, 04.13.05] Bryan Widjaja: Like at 10 myb? Might be coming back from up north gt
[20/08/23, 04.13.22] Bryan Widjaja: Let me see the earliest i can go sbntr y
[20/08/23, 07.25.43] Bryan Widjaja: I can do tonight
[20/08/23, 07.25.48] Bryan Widjaja: Earlier jg bisa
[20/08/23, 07.25.53] Bryan Widjaja: Klo mau can do dinner then movie?
‎[21/08/23, 06.54.35] Bryan Widjaja: ‎image omitted
[21/08/23, 08.48.52] Matthew Taruno: Gausah accept
[21/08/23, 08.48.57] Matthew Taruno: Let me unfollow him
[21/08/23, 08.49.07] Matthew Taruno: I don’t know the guy HAHAHA
[21/08/23, 09.13.43] Bryan Widjaja: HAHAHAHAHAH
[21/08/23, 09.13.47] Bryan Widjaja: Ya who th fuck is that tho
‎[21/08/23, 09.15.09] Matthew Taruno: ‎image omitted
[21/08/23, 09.15.13] Matthew Taruno: my brother jg gatau lol
[21/08/23, 09.17.32] Bryan Widjaja: HAHAHAH RIP
[21/08/23, 09.17.36] Bryan Widjaja: Gpp i wont accept
[21/08/23, 12.37.04] Matthew Taruno: Bro buat kmrn movie $13.45 per person ya, so with ur roomie $26.9
[22/08/23, 00.54.33] Bryan Widjaja: Lu ad venmo ga
[22/08/23, 00.54.41] Bryan Widjaja: Who do i send it to
